Fecha,La Paz,Cochabamba,Santa Cruz,Oruro,Potosí,Tarija,Chuquisaca,Beni,Pando
2020-05-26,24,18,135,13,1,3,2,77,1
2020-05-25,24,18,128,13,1,2,2,72,1
2020-05-24,24,13,123,13,1,2,2,71,1
2020-05-23,24,13,117,13,1,2,2,67,1
2020-05-22,23,11,111,13,1,2,2,66,1
2020-05-21,22,11,107,12,1,2,2,57,1
2020-05-20,21,11,97,10,1,2,2,54,1
2020-05-19,21,11,95,9,1,2,2,47,1
2020-05-18,20,10,88,9,1,2,2,41,1
2020-05-17,19,9,87,9,1,1,2,40,1
2020-05-16,19,9,84,9,1,1,2,39,1
2020-05-15,19,9,83,9,1,1,2,39,1
2020-05-14,19,8,76,9,1,1,2,35,1
2020-05-13,19,8,72,9,1,1,2,29,1
2020-05-12,17,7,64,9,1,1,2,26,1
2020-05-11,17,6,60,9,1,1,2,25,1
2020-05-10,16,6,59,9,2,1,1,23,1
2020-05-09,16,6,56,9,1,1,1,23,1
2020-05-08,16,6,53,8,1,1,1,19,1
2020-05-07,16,6,52,8,1,1,1,16,1
2020-05-06,16,6,50,7,1,1,1,8,1
2020-05-05,16,6,46,7,1,1,1,7,1
2020-05-04,15,6,44,7,1,1,1,6,1
2020-05-03,15,6,40,7,1,0,0,6,1
2020-05-02,15,6,38,6,1,0,0,4,1
2020-05-01,15,6,34,6,1,0,0,1,1
2020-04-30,15,6,32,6,1,0,0,1,1
2020-04-29,15,6,29,6,1,0,0,1,1
2020-04-28,15,6,27,4,1,0,0,1,1
2020-04-27,15,6,25,4,1,0,0,1,1
2020-04-26,15,6,22,4,1,0,0,1,1
2020-04-25,15,6,20,2,1,0,0,1,1
2020-04-24,14,6,19,2,1,0,0,1,1
2020-04-23,13,6,19,2,1,0,0,1,1
2020-04-22,13,6,16,2,1,0,0,1,1
2020-04-21,12,6,14,2,1,0,0,1,1
2020-04-20,12,6,12,2,1,0,0,0,1
2020-04-19,12,5,12,2,1,0,0,0,1
2020-04-18,12,4,12,2,1,0,0,0,1
2020-04-17,12,4,12,2,1,0,0,0,0
2020-04-16,12,4,12,2,1,0,0,0,0
2020-04-15,11,4,11,2,1,0,0,0,0
2020-04-14,11,4,10,2,1,0,0,0,0
2020-04-13,11,4,10,2,1,0,0,0,0
2020-04-12,10,4,10,2,1,0,0,0,0
2020-04-11,8,4,10,1,1,0,0,0,0
2020-04-10,7,2,9,1,1,0,0,0,0
2020-04-09,7,2,9,0,1,0,0,0,0
2020-04-08,7,2,8,0,1,0,0,0,0
2020-04-07,7,2,5,0,1,0,0,0,0
2020-04-06,7,2,5,0,0,0,0,0,0
2020-04-05,5,1,5,0,0,0,0,0,0
2020-04-04,5,0,5,0,0,0,0,0,0
2020-04-03,5,0,5,0,0,0,0,0,0
2020-04-02,4,0,5,0,0,0,0,0,0
2020-04-01,3,0,5,0,0,0,0,0,0
2020-03-31,3,0,4,0,0,0,0,0,0
2020-03-30,3,0,3,0,0,0,0,0,0
2020-03-29,2,0,1,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0,0
